Title,Author,Stars,Price,URL
Shrimad Bhagwat Geeta Yatharoop,A.C. Bhaktivendanta Swami Prabhupada,4.8 out of 5 stars,₹235.00,https://www.amazon.in/Bhagavad-Gita-Bhaktivendanta-Swami-Prabhupada/dp/938598618X/ref=zg_bs_g_books_sccl_1/000-0000000-0000000?psc=1
Atomic Habits,James Clear,4.6 out of 5 stars,₹451.00,https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_g_books_sccl_2/000-0000000-0000000?psc=1
Don't Believe Everything You Think (English),Joseph Nguyen,4.6 out of 5 stars,₹149.00,https://www.amazon.in/Dont-Believe-Everything-You-Think/dp/935543135X/ref=zg_bs_g_books_sccl_3/000-0000000-0000000?psc=1
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,₹399.00,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_g_books_sccl_4/000-0000000-0000000?psc=1
The Psychology Of Money,Morgan Housel,4.6 out of 5 stars,₹185.00,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_g_books_sccl_5/000-0000000-0000000?psc=1
Ikigai: The Japanese secret to a long and happy life,Francesc Miralles,4.6 out of 5 stars,₹321.00,https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_g_books_sccl_6/000-0000000-0000000?psc=1
BlackBook of English Vocabulary March 2023 by Nikhil Gupta,Nikhil K.R. Gupta,4.5 out of 5 stars,₹220.00,https://www.amazon.in/BlackBook-English-Vocabulary-March-Nikhil/dp/8195645712/ref=zg_bs_g_books_sccl_7/000-0000000-0000000?psc=1
Indian Polity (English| 7th Edition) | UPSC | Civil Services Exam | State Administrative Exams,M Laxmikanth,4.4 out of 5 stars,₹680.00,https://www.amazon.in/Indian-Polity-English-Services-Administrative/dp/9355325347/ref=zg_bs_g_books_sccl_8/000-0000000-0000000?psc=1
THE 48 LAWS OF POWER,Robert Greene,4.6 out of 5 stars,₹569.00,https://www.amazon.in/Laws-Power-Robert-Greene-Collection/dp/1861972784/ref=zg_bs_g_books_sccl_9/000-0000000-0000000?psc=1
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,₹115.00,https://www.amazon.in/Power-Your-Subconscious-Mind/dp/8194790832/ref=zg_bs_g_books_sccl_10/000-0000000-0000000?psc=1
My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.4 out of 5 stars,₹89.00,https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319/ref=zg_bs_g_books_sccl_11/000-0000000-0000000?psc=1
Rich Dad Poor Dad: 25th Anniversary Edit: (25th Anniversary Edition),Robert T. Kiyosaki,4.6 out of 5 stars,₹180.00,https://www.amazon.in/Rich-Dad-Poor-Middle-Anniversary/dp/1612681131/ref=zg_bs_g_books_sccl_12/000-0000000-0000000?psc=1
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty",Sudha Murty,4.6 out of 5 stars,₹162.00,https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=zg_bs_g_books_sccl_13/000-0000000-0000000?psc=1
How Prime Ministers Decide,Neerja Chowdhury,Not Available,₹730.00,https://www.amazon.in/Prime-Ministers-Decide-Neerja-Chowdhury/dp/9390652456/ref=zg_bs_g_books_sccl_14/000-0000000-0000000?psc=1
Colouring Books Boxset: Pack of 12 Copy Colour Books For Children,Wonder House Books,4.5 out of 5 stars,₹299.00,https://www.amazon.in/Colouring-Books-Kids-Colour-Children/dp/9388369785/ref=zg_bs_g_books_sccl_15/000-0000000-0000000?psc=1
