Addresses,Price,Price Type,Rent Estimate,Property Type,Number of Bedrooms,Number of Bathrooms,Square Feet,YTD,Address Link
"Island Way, Leesburg, FL 34748","$320,852",Estimated Market Value,$1291/m,Single-Family,N/A,2,1580, 103%,https://www.foreclosure.com/address/Island-Way-Leesburg-FL-34748/60858178_lid
"Weldon Cir Apt B402, Tamarac, FL 33321",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Weldon-Cir-Apt-B402-Tamarac-FL-33321/60858185_lid
"Cedar Rd, Panama City, FL 32409",N/A,N/A,N/A,Single-Family,4,2,N/A,N/A,https://www.foreclosure.com/address/Cedar-Rd-Panama-City-FL-32409/60854560_lid
"Nw 10th Ln, Miami, FL 33182","$719,334",Estimated Market Value,$2480/m,Single-Family,3,2,N/A, 106%,https://www.foreclosure.com/address/Nw-10th-Ln-Miami-FL-33182/60855499_lid
"S Main St, Chattahoochee, FL 32324","$135,945",Estimated Market Value,$1380/m,Single-Family,3,3,2370, 99%,https://www.foreclosure.com/address/S-Main-St-Chattahoochee-FL-32324/60855527_lid
"Myrick Ave, Bowling Green, FL 33834","$104,063",Estimated Market Value,$1121/m,Single-Family,3,1,1014, 103%,https://www.foreclosure.com/address/Myrick-Ave-Bowling-Green-FL-33834/60856764_lid
"Douglas Rd W, Oldsmar, FL 34677","$109,200",List Price,$2220/m,Single-Family,3,3,3921, 103%,https://www.foreclosure.com/address/Douglas-Rd-W-Oldsmar-FL-34677/60848502_lid
"W Miracle Strip Pkwy A..., Mary Esther, FL 32569","$127,512",Estimated Market Value,$700/m,N/A,N/A,N/A,N/A, 96%,https://www.foreclosure.com/address/W-Miracle-Strip-Pkwy-Apt-H301-Mary-Esther-FL-32569/60850805_lid
"N Atlantic Ave Apt 108, Daytona Beach, FL 32118","$197,901",Estimated Market Value,$940/m,Condo,N/A,N/A,N/A, 110%,https://www.foreclosure.com/address/N-Atlantic-Ave-Apt-108-Daytona-Beach-FL-32118/60850808_lid
"Russo Rd, Bartow, FL 33830","$157,505",Estimated Market Value,$1001/m,Agricultural,3,2,1571, 104%,https://www.foreclosure.com/address/Russo-Rd-Bartow-FL-33830/60850809_lid
"Chamber Ct, New Port Richey, FL 34652","$416,831",Estimated Market Value,$1400/m,N/A,N/A,N/A,N/A, 97%,https://www.foreclosure.com/address/Chamber-Ct-New-Port-Richey-FL-34652/60850810_lid
"97th Ave, Vero Beach, FL 32967","$299,050",Estimated Market Value,$1131/m,Single-Family,3,2,1800, 104%,https://www.foreclosure.com/address/97th-Ave-Vero-Beach-FL-32967/60850811_lid
"Timber Rdg Trl Sw, Vero Beach, FL 32962",N/A,N/A,N/A,Condo,3,2,1368,N/A,https://www.foreclosure.com/address/Timber-Rdg-Trl-Sw-Vero-Beach-FL-32962/60850817_lid
"Se 123rd Ln, Belleview, FL 34420","$268,586",Estimated Market Value,$1440/m,Single-Family,3,2,1456, 112%,https://www.foreclosure.com/address/Se-123rd-Ln-Belleview-FL-34420/60850815_lid
"34th Ave, Vero Beach, FL 32967","$57,520",Estimated Market Value,$750/m,N/A,N/A,N/A,N/A, 111%,https://www.foreclosure.com/address/34th-Ave-Vero-Beach-FL-32967/60850816_lid
"24th Sq, Vero Beach, FL 32962","$131,400",Estimated Market Value,$1450/m,Single-Family,3,2,1668, 35%,https://www.foreclosure.com/address/24th-Sq-Vero-Beach-FL-32962/60853208_lid
"93rd Ave, Vero Beach, FL 32967","$220,704",Estimated Market Value,$960/m,Single-Family,2,2,1196, 99%,https://www.foreclosure.com/address/93rd-Ave-Vero-Beach-FL-32967/60853211_lid
"Pine Creek Cir Ne, Palm Bay, FL 32905","$380,000",List Price,$1191/m,Single-Family,3,2,1452, 104%,https://www.foreclosure.com/address/Pine-Creek-Cir-Ne-Palm-Bay-FL-32905/60843866_lid
"Hull St, Lakeland, FL 33805","$220,000",List Price,$790/m,Single-Family,2,1,952, 112%,https://www.foreclosure.com/address/Hull-St-Lakeland-FL-33805/60843865_lid
"S Course Dr Apt 409, Pompano Beach, FL 33069","$260,348",Estimated Market Value,$1301/m,Condo,2,2,1150, 121%,https://www.foreclosure.com/address/S-Course-Dr-Apt-409-Pompano-Beach-FL-33069/60838500_lid
"Sunrise Lks Blvd, Sunrise, FL 33322",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Sunrise-Lks-Blvd-Sunrise-FL-33322/60838498_lid
"Ne 642nd St, Old Town, FL 32680",N/A,N/A,N/A,Land,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Ne-642nd-St-Old-Town-FL-32680/60840891_lid
"5th St E, Bradenton, FL 34203","$143,100",List Price,$1090/m,Single-Family,3,2,952, 100%,https://www.foreclosure.com/address/5th-St-E-Bradenton-FL-34203/60836500_lid
"Roadrunner Rd, Youngstown, FL 32466","$124,185",Estimated Market Value,$1080/m,Mobile,3,2,1980, 100%,https://www.foreclosure.com/address/Roadrunner-Rd-Youngstown-FL-32466/60838552_lid
"Pecan Pass Run, Ocala, FL 34472","$270,970",Estimated Market Value,$1420/m,N/A,N/A,N/A,N/A, 109%,https://www.foreclosure.com/address/Pecan-Pass-Run-Ocala-FL-34472/60832893_lid
